id,cuisine
18009,jamaican
28583,jamaican
41580,french
29752,japanese
35687,irish
38527,cajun_creole
19666,chinese
41217,chinese
28753,moroccan
22659,jamaican
21749,vietnamese
44967,jamaican
42969,moroccan
44883,russian
20827,filipino
23196,vietnamese
35387,chinese
33780,cajun_creole
19001,mexican
16526,southern_us
42455,japanese
47453,filipino
42478,korean
11885,cajun_creole
16585,spanish
29639,jamaican
26245,mexican
38516,chinese
47520,chinese
26212,chinese
23696,chinese
14926,mexican
13292,chinese
27346,spanish
1384,southern_us
15959,indian
42297,spanish
46235,southern_us
21181,mexican
9809,spanish
22982,italian
23120,southern_us
26743,french
12741,mexican
7050,mexican
22437,spanish
14760,vietnamese
10649,italian
48065,korean
39931,korean
32935,irish
40142,chinese
19103,cajun_creole
38267,spanish
30512,irish
3324,chinese
26197,irish
384,japanese
47230,chinese
39748,cajun_creole
41038,jamaican
24878,mexican
42624,filipino
45706,japanese
8874,chinese
23878,cajun_creole
47234,cajun_creole
24075,vietnamese
46323,spanish
22562,filipino
11358,southern_us
9201,moroccan
38620,japanese
47638,jamaican
21238,southern_us
11053,japanese
46602,irish
13937,mexican
21876,southern_us
20798,korean
24381,chinese
48178,cajun_creole
45832,spanish
27560,korean
23247,filipino
28975,jamaican
43230,british
9126,chinese
13021,spanish
28194,vietnamese
25617,mexican
36125,russian
16454,cajun_creole
1607,chinese
38526,jamaican
18755,italian
12035,cajun_creole
16047,irish
15419,chinese
16971,cajun_creole
31459,jamaican
27888,spanish
13900,chinese
12376,vietnamese
1658,mexican
29431,vietnamese
22290,chinese
28464,russian
37953,korean
20814,jamaican
35987,japanese
2329,spanish
43237,greek
30647,chinese
16675,chinese
37722,mexican
32438,korean
20287,korean
43296,moroccan
6237,chinese
48560,japanese
20810,spanish
34951,irish
31850,spanish
47745,southern_us
37815,vietnamese
9872,southern_us
5592,mexican
27411,chinese
39320,cajun_creole
40247,jamaican
19792,vietnamese
40754,british
14365,thai
14468,brazilian
47563,mexican
19611,irish
7163,mexican
43069,korean
27505,vietnamese
36500,chinese
25932,cajun_creole
817,irish
8471,jamaican
48250,southern_us
9413,filipino
12097,filipino
8416,irish
5892,filipino
676,chinese
47015,korean
21891,spanish
14630,chinese
36195,chinese
25981,vietnamese
39964,spanish
28298,cajun_creole
31954,brazilian
26620,mexican
14932,jamaican
47426,british
1038,moroccan
8077,italian
37141,filipino
45447,chinese
9624,irish
45589,filipino
7265,irish
31844,chinese
13046,mexican
9867,spanish
29184,chinese
34783,spanish
2823,korean
18932,spanish
11112,mexican
12859,cajun_creole
9365,filipino
44516,chinese
18193,filipino
46545,vietnamese
9900,chinese
14815,vietnamese
39690,chinese
22193,jamaican
11739,chinese
27311,japanese
